title,year,venue,publication_status,application_domain,dataset,data_type,granular_ball_role,generation_method,downstream_model,small_sample,imbalance,label_noise,domain_shift,evaluation_metric,strongest_baseline,reported_gain,code_available,full_text_status,main_limitation,primary_source
"Like draws to like: A Multi-granularity Ball-Intra Fusion approach for fault diagnosis models to resists misleading by noisy labels",2024,Advanced Engineering Informatics,Published,industrial_fault,"three bearing datasets: two open-source (single-bearing and multi-bearing) plus one self-made; exact names require table-level verification",vibration signals embedded by deep fault-diagnosis models,label correction and high-confidence sample selection,"per-sample multi-granularity balls in latent space; purity estimates noise intensity",deep fault-diagnosis backbones,not_primary,not_primary,yes,not_reported,accuracy,recent noisy-label fault-diagnosis methods,"abstract reports >96% in low-noise settings and maximum improvement of 80% in high-noise settings; exact matched cells not extracted",no_public_repository_found,"publisher abstract and section snippets verified",two public sources plus one private source; deep latent training and label correction are already directly occupied,https://doi.org/10.1016/j.aei.2024.102425
"MgCNL: A Sample Separation Approach via Multi-granularity Balls for Fault Diagnosis with the Interference of Noisy Labels",2024,"author manuscript submitted to IEEE TASE",Preprint/author manuscript,industrial_fault,"three fault-diagnosis datasets; table-level identities not extracted",industrial time-series latent representations,label-confidence estimation and clean-sample selection,"multi-granularity balls on supervised contrastive representations",supervised contrastive fault-diagnosis backbones,not_primary,not_primary,yes,not_reported,accuracy,advanced noisy-label methods,qualitative significant improvement across noisy settings,author_pdf_available,"author full manuscript accessible; final publication status not verified",publication status and exact split protocol require verification; overlaps MgBIF mechanism,https://aipu-seu.cn/upload/file/20240927/6386306686355937543210559.pdf
"Weighted granular-ball rough sets: A granular learning framework for robust feature selection and fault diagnosis",2026,Pattern Recognition,Published/online-first,industrial_fault,"rolling-bearing fault-diagnosis data plus general feature-selection benchmarks; exact bearing source not extracted",high-dimensional vibration features,weighted rough-set feature selection,"GB weights based on size and purity within WGBRS",classifier after heuristic feature selection,not_primary,not_primary,added_measurement_or_feature_noise,not_reported,classification_accuracy,"traditional feature selection including rough-set and GBRS methods",qualitative higher accuracy and robustness; exact fault table not extracted,no_public_repository_found,"publisher abstract and substantial section snippets verified",complex rough-set feature-selection route is occupied and exact application split/code are unavailable,https://doi.org/10.1016/j.patcog.2026.114416
"A Unified Deep Neural Network Framework With Granular Ball Embedding for Imbalanced Fault Diagnosis: Design and Analysis",2026,IEEE Transactions on Industrial Informatics,Published,industrial_fault,two industrial processes,latent process-monitoring features,GB embedding and class-structure regularization,"class-specific GBs with justifiable-granularity loss",generic deep neural networks with Softmax,no,yes,not_primary,not_reported,classification_metrics,imbalanced sampling and cost-sensitive deep methods,qualitative robust performance across imbalanced scenarios,no_public_repository_found,"publisher/institutional abstract and bibliographic record verified",end-to-end deep GB embedding is directly occupied; not a conventional-ML augmentation,https://doi.org/10.1109/TII.2025.3643425
"GB-RVFL: Fusion of randomized neural network and granular ball computing",2025,Pattern Recognition,Published,medical_and_general,"KEEL; UCI; NDC; BreakHis breast cancer; ADNI Alzheimer disease",tabular and biomedical image-derived features,replace training samples by GB centers; optional graph embedding,standard purity-based granular balls,GB-RVFL and GE-GB-RVFL,not_primary,not_primary,yes_noise_tests,not_reported,efficacy_robustness_scalability,RVFL and fuzzy/graph RVFL variants,qualitative superior efficacy robustness and scalability,yes,"publisher full article text/sections and GitHub verified",medical route already combines GB with a dedicated randomized neural architecture and graph embedding,https://doi.org/10.1016/j.patcog.2024.111142
"GAdaBoost: An efficient and robust AdaBoost algorithm based on granular-ball structure",2025,Knowledge-Based Systems,Published,general_classification,"noisy benchmark datasets; no priority-domain application verified",tabular,compress noisy samples into GB units before boosting,custom diversity-preserving GB generation,granular-ball SAMME/AdaBoost,no,not_primary,yes,not_reported,accuracy_and_efficiency,AdaBoost and noisy-label robust boosting,qualitative superior robustness and efficiency,preprint_available,"arXiv abstract plus publication DOI/reference verified",direct GB boosting is occupied for AdaBoost; priority-domain and XGBoost/LightGBM evidence absent,https://doi.org/10.1016/j.knosys.2025.113898
"PCA-GRF: A novel granular random forest algorithm for enhancing classification of small sample data",2026,Information Sciences,Published,general_small_sample,"25 UCI datasets capped at 1000 samples",tabular,multi-level granular features after adaptive PCA,"cross-dimensional interactions between original and PCA attributes",Random Forest,yes,not_primary,not_primary,not_reported,accuracy_and_stability,standard RF PCA and mainstream classifiers,"publisher abstract reports >20% improvement on datasets with low RF accuracy; not an application-domain claim",no_public_repository_found,"publisher full abstract and method/experiment snippets verified",uses generic granular computing rather than clearly standard granular-ball generation; no industrial/finance/IIoT application,https://doi.org/10.1016/j.ins.2026.123446
"Intrusion Detection in Industrial Internet of Things Based on Granular-Ball Intuitionistic Fuzzy Sets",2026,IEEE Transactions on Fuzzy Systems,Published,iiot_intrusion,"X-IIoTID; TON_IoT; WUSTL-IIOT; KDDCUP99; NSL-KDD; UNSW-NB15",network-flow tabular,class-wise GB intuitionistic fuzzy patterns and distance classification,class-wise granular-ball generation,improved intuitionistic-fuzzy distance classifier,not_primary,yes_sparse_attacks,not_reported,heterogeneous_domains,accuracy_efficiency_and_unspecified_detection_metrics,traditional and fuzzy intrusion classifiers,qualitative superior performance under heterogeneous and sparse data,no_public_repository_found,"bibliographic record and detailed abstract verified",direct IIoT GB paper already covers six datasets; fuzzy-set complexity and leakage-safe splits require full-text audit,https://doi.org/10.1109/TFUZZ.2026.3669922
"Granular-ball rough set for robust twin support vector classification in medical image detection",2026,Applied Soft Computing,Published,medical,"synthetic; benchmark; real medical-image datasets; exact medical datasets not extracted",medical image features,GB rough-set weighting/representation inside robust twin SVM,granular-ball rough-set construction,GB-RGTSVM,no,not_primary,noise_contamination_tests,not_reported,classification_performance_and_efficiency,twin SVM and robust classification methods,qualitative competitive or superior under high noise,no_public_repository_found,"publisher method and experiment snippets verified",SVM/twin-SVM GB medical classification is highly occupied and outside conventional-tree priority,https://doi.org/10.1016/j.asoc.2026.115875
"Detecting anomalies with granular-ball fuzzy rough sets",2024,Information Sciences,Published,general_anomaly_detection,benchmark anomaly datasets,tabular,GB fuzzy-rough outlier factor,granular-ball fuzzy rough granules,unsupervised anomaly scoring,no,yes_anomaly,unsupervised_noise_robustness,not_reported,AUC_or_outlier_metrics,state-of-the-art anomaly detectors,qualitative superiority,yes,"publisher metadata and official GitHub with paper/code verified",not a direct credit-fraud or intrusion application; fuzzy-rough anomaly mechanism already occupied,https://doi.org/10.1016/j.ins.2024.121016
"Granular-ball computing-based Random Walk for anomaly detection",2025,Pattern Recognition,Published,general_anomaly_detection,multiple benchmark anomaly datasets,tabular,GB-level state transition matrix for random walk,adaptive GB representation,random-walk anomaly detector,no,yes_anomaly,unsupervised_noise_robustness,not_reported,AUC_and_efficiency,state-of-the-art anomaly detectors,qualitative feasible and efficient,yes,"publisher abstract/sections and code URL verified",mentions fraud/intrusion as motivation but does not establish a domain-specific application result,https://doi.org/10.1016/j.patcog.2025.111588
"Natural granular-ball anomaly detection",2026,Applied Soft Computing,Published,general_anomaly_detection,multiple anomaly benchmarks,tabular,parameter-free natural-neighbor GB anomaly representation,natural granular-ball generation,natural outlier factor,no,yes_anomaly,unsupervised_noise_robustness,not_reported,AUC_and_efficiency,modern anomaly detectors,qualitative superiority,no_public_repository_verified,"publisher abstract and article sections verified",fraud/process monitoring/sensors are motivations rather than verified priority-domain datasets,https://doi.org/10.1016/j.asoc.2026.115147
"Finding Time Series Anomalies Using Granular-Ball Vector Data Description",2026,AAAI,Published,time_series_anomaly,multiple public time-series anomaly benchmarks,time series,GB vector description prototypes in learned latent space,density-guided hierarchical splitting with pruning,encoder-decoder one-class network,no,yes_anomaly,unsupervised,temporal_shift_possible,AUC_or_standard_time_series_metrics,nearest-neighbor clustering and deep anomaly models,qualitative superiority,code_or_pdf_available,"AAAI page abstract and downloadable full paper verified",deep one-class representation is not conventional ML and is not a labeled fault-classification result,https://doi.org/10.1609/aaai.v40i30.39722
"A granular-ball ensemble learning framework for interpretable haze risk assessment",2026,Process Safety and Environmental Protection,Published,environmental_risk,haze risk data for Beijing-Tianjin-Hebei cities,spatiotemporal tabular,GB feature engineering before CatBoost,"multi-granularity GB plus entropy-enhanced PCA",ISSA-optimized CatBoost,no,not_primary,not_primary,spatiotemporal,accuracy_and_interpretability,CatBoost and risk models,reported accuracy 94.1%,no_public_repository_found,"publisher abstract and detailed sections verified",direct CatBoost combination exists outside priority domains but includes PCA entropy and swarm optimization that this project forbids,https://www.sciencedirect.com/science/article/pii/S0957582026003885
