dataset_id,dataset_name,source,target,positive_class,n,d,positive_ratio,categorical_features,continuous_features,missing_ratio,domain,license,recommended_split,time_information_available
taiwan_default,Default of Credit Card Clients,https://archive.ics.uci.edu/dataset/350/default,"default payment next month",default,30000,23,0.2212,"sex; education; marriage; ordinal repayment-status codes","credit limit; age; six monthly bills/payments and numeric repayment history",0,consumer_credit_default,CC_BY_4.0,"stratified train/validation/test or repeated stratified CV; remove ID; all preprocessing inside fold",no_individual_event_order_all_clients_share_2005_window
south_german,South German Credit,https://archive.ics.uci.edu/dataset/573/south+german+credit+update,credit_risk,bad_credit,1000,20_predictors_plus_target,0.3000,"checking; history; purpose; savings; employment; personal status; guarantor; property; plans; housing; job; phone; foreign worker","duration; amount; installment rate; residence; age; existing credits; dependents",0,consumer_credit_risk,CC_BY_4.0,"repeated stratified CV with cost-sensitive metrics; treat as the corrected version of Statlog German, not an independent source",sample_period_1973_1975_but_row_order_not_a_reliable_timestamp
statlog_german,Statlog German Credit Data,https://archive.ics.uci.edu/dataset/144/statlog+german+credit+data,credit_risk,bad_credit,1000,20,0.3000,"13 symbolic variables in original representation","7 numeric variables; numeric Statlog file expands indicators",0,consumer_credit_risk,CC_BY_4.0,"repeated stratified CV with official asymmetric cost matrix; diagnostic compatibility only because South German corrects coding errors",no
australian_credit,Statlog Australian Credit Approval,https://archive.ics.uci.edu/dataset/143/statlog,credit_application_decision,approved_or_positive_class,690,14,0.4449,"mixed anonymized nominal attributes","mixed anonymized continuous attributes","few missing values; exact cells verified during ingestion",credit_approval,CC_BY_4.0,"repeated stratified CV; imputation and encoding inside fold",no
give_me_credit,Give Me Some Credit,https://www.kaggle.com/c/GiveMeSomeCredit,SeriousDlqin2yrs,"90 days past due or worse within two years",150000,10,0.06684,"none in canonical numeric table","revolving utilization; age; delinquency counts; debt ratio; income; open lines; real-estate lines; dependents","MonthlyIncome and NumberOfDependents contain substantial missingness",consumer_delinquency,"Subject to Kaggle competition rules",stratified_train_validation_test_on_labeled_training_file_only; threshold chosen on validation,no
home_credit_default,Home Credit Default Risk,https://www.kaggle.com/competitions/home-credit-default-risk,TARGET,default_or_payment_difficulty,307511,121_application_features,0.08073,"many application categorical fields plus auxiliary-table categories","application; bureau; previous-credit and installment aggregates","high and table-dependent",consumer_credit_default,"Subject to Kaggle competition rules","client-ID grouped split; fit auxiliary aggregations on training IDs only; use only fields available by application time",relative_day_fields_exist_but_no_reliable_public_calendar_split_in_2018_release
ulb_creditcard_fraud,ULB/Worldline Credit Card Fraud Detection,https://www.kaggle.com/datasets/mlg-ulb/creditcardfraud,Class,fraud,284807,30_predictors_plus_target,0.001727,"none; V1-V28 are anonymized PCA components","Time; Amount; V1-V28",0,transaction_fraud,"Open Database License reported by distribution; verify platform terms before download","chronological blocked train/validation/test using Time; never random undersampling before split; threshold from validation PR objective",yes_Time_seconds_over_two_days
bank_marketing,Bank Marketing,https://archive.ics.uci.edu/dataset/222/bank,y,term_deposit_subscription,45211,16,0.11698,"job; marital; education; default; housing; loan; contact; month; poutcome","age; balance; day; duration; campaign; pdays; previous",0,marketing_response_not_credit_risk,CC_BY_4.0,"use ordered full version for chronological split; remove call duration for a pre-call decision task; group repeated-client contacts if identity can be recovered",yes_full_versions_are_ordered_by_date_but_month_day_are_partial
lending_club_granting,Lending Club Loan Granting Model Dataset,https://zenodo.org/records/11295916,loan_performance_or_granting_class,bad_loan_or_default,"verify after download","verify after download","verify after download","mixed loan application categories","loan amount; income; FICO and application-time numeric attributes","verify after download",peer_to_peer_credit_default,"Zenodo record open; verify deposited file license","chronological split by issue date; exclude current loans and every post-origination/loan-status-derived field; freeze maturity cutoff",yes_2007_2018_origin_period
heloc,FICO Explainable ML Challenge HELOC,https://aix360.factsheets.vpc.res.ibm.com/data,RiskPerformance,Bad,10459,23,0.4781,"none nominal; special values -7/-8/-9 encode missing/no-trade states","anonymized credit-bureau numeric attributes","special missing codes rather than blank cells",home_equity_credit_risk,"FICO challenge/AIX360 distribution terms; verify before redistribution","repeated stratified CV; encode -7/-8/-9 as explicit missing-state indicators inside fold",no
polish_bankruptcy,Polish Companies Bankruptcy,https://archive.ics.uci.edu/dataset/365/polish+companies+bankruptcy,class,bankrupt,"5910-10503 per forecasting horizon",64_ratios_plus_year,"0.0386-0.0694 depending on 1-5 year horizon","none","64 financial ratios plus horizon/year field","feature-dependent missing values",corporate_bankruptcy,CC_BY_4.0,"treat five horizons as related tasks; preserve forecasting horizon; prefer temporal/company-aware validation where identifiers permit; impute inside fold",yes_year_ranges_and_five_forecasting_horizons
ieee_cis_fraud,IEEE-CIS Fraud Detection,https://www.kaggle.com/c/ieee-fraud-detection/data,isFraud,fraud,590540,"transaction table plus optional identity features",0.03499,"ProductCD; card; address; email; M fields; device and identity categories","TransactionAmt; TransactionDT; C/D/V and numeric identity fields","high and table-dependent",ecommerce_transaction_fraud,"Subject to Kaggle competition rules","chronological split by TransactionDT; join by TransactionID; do not use ID as predictive magnitude; fit encoders on past/train only",yes_TransactionDT
