paper_id,paper,year,venue,task,representation,granulation,split_criterion,merge_criterion,stop_criterion,uncertainty,decision,downstream,dataset,noise,baseline,main_gain,code,author_weakness,suspected_weakness,evidence_level,source_url,notes
P0001,Constructing Three-Way Decision With Fuzzy Granular-Ball Rough Sets Based on Uncertainty Invariance,2025,IEEE Transactions on Fuzzy Systems,classification; decision analysis,granular ball; rough-set approximation; fuzzy granule,granular-ball generation; fuzzy,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject; classification decision,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/tfuzz.2025.3536564,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0002,3WC-GBNRS++: A Novel Three-Way Classifier With Granular-Ball Neighborhood Rough Sets Based on Uncertainty,2024,IEEE Transactions on Fuzzy Systems,classification; decision analysis,granular ball; rough-set neighborhood; rough-set approximation,granular-ball generation; adaptive/dynamic; neighborhood,radius/distance,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject; classification decision,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/tfuzz.2024.3397697,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0003,GBRS: A Unified Granular-Ball Learning Model of Pawlak Rough Set and Neighborhood Rough Set,2025,IEEE Transactions on Neural Networks and Learning Systems,feature selection,granular ball; rough-set neighborhood; rough-set approximation,granular-ball generation; neighborhood,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/tnnls.2023.3325199,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0004,"Granular ball computing classifiers for efficient, scalable and robust learning",2019,Information Sciences,classification,granular ball,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,classification decision,SVM; kNN,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1016/j.ins.2019.01.010,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0005,An Efficient and Adaptive Granular-Ball Generation Method in Classification Problem,2024,IEEE Transactions on Neural Networks and Learning Systems,classification,granular ball,granular-ball generation; adaptive/dynamic,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,classification decision,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/tnnls.2022.3203381,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0006,GBG++: A Fast and Stable Granular Ball Generation Method for Classification,2024,IEEE Transactions on Emerging Topics in Computational Intelligence,classification; anomaly/outlier detection,granular ball,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,classification decision,kNN,requires full-text verification,outliers,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/tetci.2024.3359091,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0007,A granular-ball generation method based on local density for classification,2025,Information Sciences,classification,granular ball,granular-ball generation; local-density,local density,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,classification decision,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ins.2025.122295,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0008,Granular-Ball Three-Way Decision,2023,Lecture Notes in Computer Science,decision analysis,granular ball,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/978-3-031-50959-9_20,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0009,Three-Way Decision of Granular-Ball Rough Sets Based on Fuzziness,2024,Lecture Notes in Computer Science,decision analysis,granular ball; rough-set approximation,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/978-3-031-65668-2_3,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0010,Granular ball-based fuzzy multineighborhood rough set for feature selection via label enhancement,2025,Engineering Applications of Artificial Intelligence,feature selection,granular ball; rough-set neighborhood; rough-set approximation,granular-ball generation; neighborhood,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.engappai.2025.110191,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
