dataset_id,dataset_name,official_source,download_url,license,machine_type,sensor_type,sampling_rate,num_units,operating_conditions,loads,speeds,fault_classes,normal_class,raw_num_samples,signal_length,class_balance,recommended_protocol,small_sample_possible,imbalance_possible,label_noise_possible,cross_condition_possible,cross_machine_possible
cwru,CWRU Bearing Data Center,https://engineering.case.edu/bearingdatacenter/download-data-file,https://engineering.case.edu/bearingdatacenter/download-data-file,"No explicit license located on official page; download from source and do not redistribute",motor-bearing test rig,"drive-end/fan-end/base accelerometers; RPM",12_kHz_and_48_kHz,"physical bearing identity is not consistently exposed across all release files","motor loads 0/1/2/3 hp","0-3 hp","approximately 1797/1772/1750/1730 rpm","healthy; inner race; outer race; rolling element; several seeded fault diameters",yes,"official release contains multiple files per fault/load/sensor configuration; exact selected subset must be frozen","varies by acquisition file",configuration-dependent,"split original acquisition files before windowing; keep every crop from one file in one fold; report cross-load tests",yes,yes,yes,yes,limited
paderborn,Paderborn University KAt Bearing DataCenter,https://mb.uni-paderborn.de/kat/forschung/bearing-datacenter,https://mb.uni-paderborn.de/kat/forschung/bearing-datacenter,CC_BY-NC_4.0,electromechanical drive bearing rig,"vibration and motor-current signals","published per channel in official documentation; verify during ingestion","bearing IDs K001... with healthy artificial-damage and real-damage units","multiple official operating conditions","radial load and drive torque vary","rotational speed varies","healthy; artificial and real inner/outer/combined bearing damage",yes,"unit-level recordings across multiple bearings and conditions","record length documented with each download",nonuniform_by_damage_origin,"leave-bearing-ID-out; cross-condition and real-vs-artificial damage tests; never random-window split",yes,yes,yes,yes,yes
xjtu_sy,XJTU-SY Rolling Element Bearing Accelerated Life Test,https://github.com/WangBiaoXJTU/xjtu-sy-bearing-datasets,https://github.com/WangBiaoXJTU/xjtu-sy-bearing-datasets,"No explicit dataset license verified; cite original tutorial and authors",run-to-failure rolling-bearing rig,"two vibration channels",25.6_kHz,"15 bearings: five under each of three conditions","35 Hz/12 kN; 37.5 Hz/11 kN; 40 Hz/10 kN","10/11/12 kN radial force","2100/2250/2400 rpm","natural degradation ending in documented bearing-specific failure modes; health stages are not supplied as universal class labels",early_life_proxy,"many periodic snapshots over each bearing life","commonly 32768 points per snapshot; verify archive metadata",strongly_time_dependent,"bearing-wise holdout and cross-condition evaluation; derive health/fault stages using a frozen rule without test tuning",yes,yes,yes,yes,yes
seu,SEU Mechanical Bearing and Gearbox Dataset,https://github.com/cathysiyu/Mechanical-datasets,https://github.com/cathysiyu/Mechanical-datasets,"No explicit data license verified; software mirrors do not license the recordings",drivetrain_dynamics_simulator,"eight synchronous vibration/torque channels",40_kHz_reported_in_source_papers,"recordings for bearing and gear subsets under two conditions","condition A: 20 Hz/0 V; condition B: 30 Hz/2 V","two load configurations encoded by 0 V and 2 V","20 Hz and 30 Hz","gear: healthy/chipped/root crack/missing tooth/surface wear; bearing: healthy/inner/outer/ball/combined",yes,"five states x two conditions for each subset; file inventory must be verified after manual download","long multi-channel CSV recordings; exact per-file length to inspect",approximately_balanced_at_record_level,"file-level split; primary evaluation A-to-B and B-to-A; fit preprocessing only on source/train files",yes,yes,yes,yes,limited
mfpt,MFPT Bearing Fault Data Sets,https://www.mfpt.org/fault-data-sets/,https://www.mfpt.org/fault-data-sets/,"No explicit license verified on source page",bearing_test_rig_plus_real_machines,"acceleration; shaft speed; load; bearing characteristic frequencies","stored per record in dataset metadata","23 data sets: 20 rig recordings plus three real-machine recordings","baseline and several loads/fault settings","constant and variable loads","shaft speed stored per record","baseline; inner-race; outer-race; three real-machine cases with unknown fault location",yes,23_recordings,"variable; read from each MAT record",nonuniform,"group by original recording; load holdout for rig data; keep unknown real-machine cases as external/anomaly tests",yes,yes,yes,yes,yes
ims,NASA/IMS Bearing Run-to-Failure Dataset,https://catalog.data.gov/dataset/ims-bearings,https://data.nasa.gov/docs/legacy/IMS.zip,US_Government_Work_distribution_metadata,run-to-failure bearing rig,"accelerometers on four bearings",20_kHz,"three tests with four bearings on one shaft","constant 2000 rpm and 6000-lb radial load","6000 lb","2000 rpm","bearing-specific terminal failures; healthy-to-degradation trajectory; not a balanced multiclass release",early_life_proxy,"984-4448 one-second snapshots per experiment according to benchmark documentation",1_second_snapshot,strongly_time_and_unit_dependent,"hold out complete bearing/test runs; use temporal prefix-to-future or external anomaly protocol; no random snapshots",yes,yes,yes,limited,yes
hust,HUST Bearing Dataset,https://data.mendeley.com/datasets/cbv7jyx4p9/3,https://data.mendeley.com/datasets/cbv7jyx4p9/3,CC_BY_4.0,motor-driven ball-bearing rig,vibration,51.2_kHz,"99 raw recordings; five bearing types","three working conditions","condition-specific load settings in data article","condition-specific speeds in data article","healthy plus inner/outer/ball cracks and compound two-fault combinations",yes,99_raw_recordings,"raw MAT signals; exact length available in files",nonuniform_across_bearing_type_and_compound_fault,"split by raw recording and bearing type before segmentation; report leave-bearing-type/condition-out",yes,yes,yes,yes,yes
ottawa_variable,University of Ottawa Bearing Vibration under Time-Varying Speed,https://data.mendeley.com/datasets/v43hmbwxpm/2,https://data.mendeley.com/datasets/v43hmbwxpm/2,CC_BY_4.0,rolling-element bearing rig,"vibration plus encoder speed",200_kHz,"multiple recordings and repetitions; physical bearing count must be checked from filenames","four time-varying speed profiles A-D across health/fault settings","speed-profile-dependent","time-varying profiles","healthy; inner-race; outer-race and other states as encoded in release",yes,"multiple 10-second MAT files with three repetitions per visible condition/profile",10_seconds,approximately_balanced_by_profile,"recording-level split; speed-profile holdout; never mix crops from the same 10-second file",yes,yes,yes,yes,limited
ottawa_constant,University of Ottawa Constant Load/Speed Vibration and Acoustic Dataset,https://data.mendeley.com/datasets/y2px5tg92h/2,https://data.mendeley.com/datasets/y2px5tg92h/2,CC_BY_4.0,rolling-element bearing run-to-failure rig,"accelerometer; microphone; load cell; Hall speed; temperatures",42_kHz_for_vibration_and_acoustic,"bearing IDs embedded in 60 raw sets","nominal constant load/speed with health stages","400 N for most classes; ball-fault protocol differs","recorded RPM supplied","healthy; inner; outer; ball; cage with healthy/developing/faulty stages",yes,60_raw_sets,420000_samples_per_raw_signal,nonuniform_by_fault_and_stage,"leave-bearing-ID-out; multimodal ablation; group all processed windows/spectrograms from one raw set",yes,yes,yes,limited,yes
phm2009,PHM Society 2009 Gearbox Challenge,https://phmsociety.org/public-data-sets/,https://phmsociety.org/public-data-sets/,"No explicit dataset license verified; PHM Society attribution required",generic_industrial_gearbox,"two accelerometers plus tachometer",66.67_kHz_reported_in_benchmark_papers,"repeated runs across gearbox configurations","five shaft speeds x high/low load x spur/helical gears","high and low","30/35/40/45/50 Hz","multi-label states across gears bearings and shafts; labeled expanded release available",yes,"560 challenge samples plus a larger labeled expanded release",4_seconds_reported_in_benchmark_papers,multi_label_and_configuration_dependent,"run-level grouped split; cross-speed/load/gear-type tests; do not split within a run",yes,yes,yes,yes,limited
