dataset,source,generator,implementation,perturbation_type,perturbation_strength,seed,decision_rule,n_common_samples,ari,nmi,vi,prediction_agreement,accuracy_original,accuracy_perturbed,balanced_accuracy_original,balanced_accuracy_perturbed,macro_f1_original,macro_f1_perturbed,decision_accuracy_gain_original_vs_nearest,decision_accuracy_gain_perturbed_vs_nearest,native_decision_gain_original,native_decision_gain_perturbed
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_kmeans_binary,repository_cleanroom,label_flip,0.05,1,nearest_center,500,0.0,0.0,0.9828537032393191,0.944,0.86,0.884,0.5,0.6335548172757475,0.46236559139784944,0.6719308565998461,0.0,0.0,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_kmeans_binary,repository_cleanroom,label_flip,0.05,1,radius_aware_distance,500,0.0,0.0,0.9828537032393191,0.792,0.86,0.8,0.5,0.6863787375415282,0.46236559139784944,0.6521109905095878,0.0,-0.08399999999999996,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_kmeans_binary,repository_cleanroom,label_flip,0.05,1,three_center_inverse_distance_vote,500,0.0,0.0,0.9828537032393191,0.978,0.86,0.87,0.5,0.5536544850498338,0.46236559139784944,0.563400905439353,0.0,-0.014000000000000012,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_kmeans_binary,repository_cleanroom,label_flip,0.05,1,native_radius_aware,500,0.0,0.0,0.9828537032393191,0.792,0.86,0.8,0.5,0.6863787375415282,0.46236559139784944,0.6521109905095878,0.0,-0.08399999999999996,0.0,-0.08399999999999996
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_class_means_binary,repository_cleanroom,label_flip,0.05,1,nearest_center,500,0.0,0.0,0.2638649208026663,0.944,0.86,0.916,0.5,0.7,0.46236559139784944,0.7624326892619575,0.0,0.0,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_class_means_binary,repository_cleanroom,label_flip,0.05,1,radius_aware_distance,500,0.0,0.0,0.2638649208026663,0.0,0.86,0.14,0.5,0.5,0.46236559139784944,0.12280701754385964,0.0,-0.776,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_class_means_binary,repository_cleanroom,label_flip,0.05,1,three_center_inverse_distance_vote,500,0.0,0.0,0.2638649208026663,0.944,0.86,0.916,0.5,0.7,0.46236559139784944,0.7624326892619575,0.0,0.0,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_class_means_binary,repository_cleanroom,label_flip,0.05,1,native_radius_aware,500,0.0,0.0,0.2638649208026663,0.0,0.86,0.14,0.5,0.5,0.46236559139784944,0.12280701754385964,0.0,-0.776,0.0,-0.776
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",gbc_multiclass_cleanroom,repository_cleanroom,label_flip,0.05,1,nearest_center,500,0.0,0.0,0.7864152917069218,0.964,0.86,0.892,0.5,0.620265780730897,0.46236559139784944,0.6635765550239234,0.0,0.0,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",gbc_multiclass_cleanroom,repository_cleanroom,label_flip,0.05,1,radius_aware_distance,500,0.0,0.0,0.7864152917069218,0.858,0.86,0.846,0.5,0.6832225913621263,0.46236559139784944,0.6821307969847836,0.0,-0.04600000000000004,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",gbc_multiclass_cleanroom,repository_cleanroom,label_flip,0.05,1,three_center_inverse_distance_vote,500,0.0,0.0,0.7864152917069218,0.954,0.86,0.906,0.5,0.6642857142857143,0.46236559139784944,0.7214022358952472,0.0,0.014000000000000012,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",gbc_multiclass_cleanroom,repository_cleanroom,label_flip,0.05,1,native_radius_aware,500,0.0,0.0,0.7864152917069218,0.858,0.86,0.846,0.5,0.6832225913621263,0.46236559139784944,0.6821307969847836,0.0,-0.04600000000000004,0.0,-0.04600000000000004
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",gbc_confidence_bound_control,repository_internal_control,label_flip,0.05,1,nearest_center,500,0.00881017718661981,0.27606187273521926,4.258287091100849,0.866,0.896,0.898,0.6285714285714286,0.8151162790697675,0.67603668261563,0.7988943130466328,0.0,0.0,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",gbc_confidence_bound_control,repository_internal_control,label_flip,0.05,1,radius_aware_distance,500,0.00881017718661981,0.27606187273521926,4.258287091100849,0.952,0.862,0.898,0.5609634551495016,0.6536544850498338,0.5744890785530161,0.7034021517883106,-0.03400000000000003,0.0,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",gbc_confidence_bound_control,repository_internal_control,label_flip,0.05,1,three_center_inverse_distance_vote,500,0.00881017718661981,0.27606187273521926,4.258287091100849,0.892,0.884,0.892,0.5857142857142857,0.751827242524917,0.614751049471279,0.7643485546711353,-0.01200000000000001,-0.006000000000000005,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",gbc_confidence_bound_control,repository_internal_control,label_flip,0.05,1,native_radius_aware,500,0.00881017718661981,0.27606187273521926,4.258287091100849,0.952,0.862,0.898,0.5609634551495016,0.6536544850498338,0.5744890785530161,0.7034021517883106,-0.03400000000000003,0.0,-0.03400000000000003,0.0
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_kmeans_binary,repository_cleanroom,label_flip,0.05,7,nearest_center,500,0.0,0.0,0.9759333603657853,0.958,0.86,0.898,0.5,0.6416943521594685,0.46236559139784944,0.6917274144996917,0.0,0.0,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_kmeans_binary,repository_cleanroom,label_flip,0.05,7,radius_aware_distance,500,0.0,0.0,0.9759333603657853,0.798,0.86,0.806,0.5,0.6898671096345514,0.46236559139784944,0.6578700470516863,0.0,-0.09199999999999997,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_kmeans_binary,repository_cleanroom,label_flip,0.05,7,three_center_inverse_distance_vote,500,0.0,0.0,0.9759333603657853,0.986,0.86,0.874,0.5,0.55,0.46236559139784944,0.556781246922092,0.0,-0.02400000000000002,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_kmeans_binary,repository_cleanroom,label_flip,0.05,7,native_radius_aware,500,0.0,0.0,0.9759333603657853,0.798,0.86,0.806,0.5,0.6898671096345514,0.46236559139784944,0.6578700470516863,0.0,-0.09199999999999997,0.0,-0.09199999999999997
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_class_means_binary,repository_cleanroom,label_flip,0.05,7,nearest_center,500,0.0,0.0,0.2638649208026663,0.944,0.86,0.916,0.5,0.7,0.46236559139784944,0.7624326892619575,0.0,0.0,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_class_means_binary,repository_cleanroom,label_flip,0.05,7,radius_aware_distance,500,0.0,0.0,0.2638649208026663,0.0,0.86,0.14,0.5,0.5,0.46236559139784944,0.12280701754385964,0.0,-0.776,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_class_means_binary,repository_cleanroom,label_flip,0.05,7,three_center_inverse_distance_vote,500,0.0,0.0,0.2638649208026663,0.944,0.86,0.916,0.5,0.7,0.46236559139784944,0.7624326892619575,0.0,0.0,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_class_means_binary,repository_cleanroom,label_flip,0.05,7,native_radius_aware,500,0.0,0.0,0.2638649208026663,0.0,0.86,0.14,0.5,0.5,0.46236559139784944,0.12280701754385964,0.0,-0.776,0.0,-0.776
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",gbc_multiclass_cleanroom,repository_cleanroom,label_flip,0.05,7,nearest_center,500,0.0,0.0,1.7271107603664704,0.95,0.86,0.906,0.5,0.6702657807308969,0.46236559139784944,0.7266647281186391,0.0,0.0,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",gbc_multiclass_cleanroom,repository_cleanroom,label_flip,0.05,7,radius_aware_distance,500,0.0,0.0,1.7271107603664704,0.69,0.86,0.742,0.5,0.7184385382059801,0.46236559139784944,0.6301075268817204,0.0,-0.16400000000000003,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",gbc_multiclass_cleanroom,repository_cleanroom,label_flip,0.05,7,three_center_inverse_distance_vote,500,0.0,0.0,1.7271107603664704,0.988,0.86,0.868,0.5,0.5345514950166113,0.46236559139784944,0.5300751879699248,0.0,-0.038000000000000034,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",gbc_multiclass_cleanroom,repository_cleanroom,label_flip,0.05,7,native_radius_aware,500,0.0,0.0,1.7271107603664704,0.69,0.86,0.742,0.5,0.7184385382059801,0.46236559139784944,0.6301075268817204,0.0,-0.16400000000000003,0.0,-0.16400000000000003
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",gbc_confidence_bound_control,repository_internal_control,label_flip,0.05,7,nearest_center,500,0.003622392555187578,0.26753092747332036,4.445854184355181,0.852,0.896,0.876,0.6285714285714286,0.7843853820598007,0.67603668261563,0.7620582726965706,0.0,0.0,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",gbc_confidence_bound_control,repository_internal_control,label_flip,0.05,7,radius_aware_distance,500,0.003622392555187578,0.26753092747332036,4.445854184355181,0.964,0.862,0.89,0.5609634551495016,0.6071428571428571,0.5744890785530161,0.646415943426551,-0.03400000000000003,0.014000000000000012,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",gbc_confidence_bound_control,repository_internal_control,label_flip,0.05,7,three_center_inverse_distance_vote,500,0.003622392555187578,0.26753092747332036,4.445854184355181,0.892,0.884,0.88,0.5857142857142857,0.732890365448505,0.614751049471279,0.7414773706525111,-0.01200000000000001,0.0040000000000000036,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",gbc_confidence_bound_control,repository_internal_control,label_flip,0.05,7,native_radius_aware,500,0.003622392555187578,0.26753092747332036,4.445854184355181,0.964,0.862,0.89,0.5609634551495016,0.6071428571428571,0.5744890785530161,0.646415943426551,-0.03400000000000003,0.014000000000000012,-0.03400000000000003,0.014000000000000012
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_kmeans_binary,repository_cleanroom,label_flip,0.05,21,nearest_center,500,0.0,0.0,0.965712827827449,0.956,0.86,0.896,0.5,0.640531561461794,0.46236559139784944,0.6887569431143459,0.0,0.0,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_kmeans_binary,repository_cleanroom,label_flip,0.05,21,radius_aware_distance,500,0.0,0.0,0.965712827827449,0.798,0.86,0.806,0.5,0.6898671096345514,0.46236559139784944,0.6578700470516863,0.0,-0.08999999999999997,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_kmeans_binary,repository_cleanroom,label_flip,0.05,21,three_center_inverse_distance_vote,500,0.0,0.0,0.965712827827449,0.986,0.86,0.874,0.5,0.55,0.46236559139784944,0.556781246922092,0.0,-0.02200000000000002,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_kmeans_binary,repository_cleanroom,label_flip,0.05,21,native_radius_aware,500,0.0,0.0,0.965712827827449,0.798,0.86,0.806,0.5,0.6898671096345514,0.46236559139784944,0.6578700470516863,0.0,-0.08999999999999997,0.0,-0.08999999999999997
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_class_means_binary,repository_cleanroom,label_flip,0.05,21,nearest_center,500,0.0,0.0,0.2638649208026663,0.944,0.86,0.916,0.5,0.7,0.46236559139784944,0.7624326892619575,0.0,0.0,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_class_means_binary,repository_cleanroom,label_flip,0.05,21,radius_aware_distance,500,0.0,0.0,0.2638649208026663,0.0,0.86,0.14,0.5,0.5,0.46236559139784944,0.12280701754385964,0.0,-0.776,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_class_means_binary,repository_cleanroom,label_flip,0.05,21,three_center_inverse_distance_vote,500,0.0,0.0,0.2638649208026663,0.944,0.86,0.916,0.5,0.7,0.46236559139784944,0.7624326892619575,0.0,0.0,,
internet_ads,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",tree_class_means_binary,repository_cleanroom,label_flip,0.05,21,native_radius_aware,500,0.0,0.0,0.2638649208026663,0.0,0.86,0.14,0.5,0.5,0.46236559139784944,0.12280701754385964,0.0,-0.776,0.0,-0.776
