dataset_id,dataset_name,official_source,download_url,license,n,features,classes,environment,time_available,device_id_fields,flow_id_fields,ip_fields,port_fields,duplicates_known,primary_leakage_risk,recommended_split,first_round_status
unsw_nb15,UNSW-NB15,https://research.unsw.edu.au/projects/unsw-nb15-dataset,https://research.unsw.edu.au/projects/unsw-nb15-dataset,"perpetual free academic research use; commercial use by author agreement",2540044_full_or_175341_train_plus_82332_test,"49 generated features including label in full release","normal plus 9 attack families",UNSW_Canberra_Cyber_Range,yes_event_files_and_timestamps,"host/IP identity in full raw/CSV release","record/flow keys vary by file","srcip and dstip in full CSV; inspect pre-split schema","sport and dsport in full CSV; service may proxy attack",not_resolved,"IP/port/time and attack-generator artifacts; official train/test may share scenario signatures","retain official split for compatibility; primary result uses attack-campaign/time blocks and removes direct identifiers; fit frequency encodings on train only",retain_fast_baseline
bot_iot,BoT-IoT,https://research.unsw.edu.au/projects/bot-iot-dataset,https://research.unsw.edu.au/projects/bot-iot-dataset,"perpetual free academic research use; commercial use by author agreement",72000000_full_or_about_3_7m_5pct,"Argus flow features; commonly 42-45 columns","normal; DDoS; DoS; OS scan; service scan; keylogging; data exfiltration plus protocol subtypes",UNSW_Canberra_Cyber_Range,yes_stime_ltime,"source/destination hosts and IoT/Kali roles","sequence and flow aggregation identifiers","saddr/daddr","sport/dport",likely_high_due_attack_generation,"files separated by attack category; extreme 5% subset has roughly 477 benign vs 3.668m attacks; host/port/campaign shortcuts","split by original capture/attack campaign before sampling; construct train-only balancing; remove address IDs and audit ports/time",conditional_high_risk
ton_iot,TON_IoT,https://research.unsw.edu.au/projects/toniot-datasets,https://research.unsw.edu.au/projects/toniot-datasets,"perpetual free academic research use; commercial use by author agreement","multiple network telemetry Windows and Linux datasets","source-specific network/host/telemetry features","normal plus DoS DDoS ransomware scanning injection XSS password and other attacks depending source",UNSW_IoT_IIoT_Cyber_Range,yes_security_event_timestamps,"IoT sensor/host/IP identities and OS source","Zeek UID and log/process identifiers","IP addresses used with timestamps to construct ground truth","network ports and service fields",not_resolved,"ground truth is tagged using attacker IPs and time ranges; device/source identity can reveal label","choose one source at a time; split by time/attack campaign/device; drop UID/IP/time and report device-held-out result",retain_network_and_telemetry_screen
edge_iiotset,Edge-IIoTset,https://doi.org/10.1109/ACCESS.2022.3165809,http://ieee-dataport.org/8939,"academic/public citation terms in paper/DataPort; verify download terms",about_2219201_selected_rows,"61 selected features from 1176 raw features","normal plus 14 attacks in 5 threat groups",purpose_built_IoT_IIoT_edge_cloud_testbed,yes_raw_timestamps,"more than 10 IoT device/sensor types","frame/connection identifiers in raw data","raw frame/IP/ARP host fields","TCP/UDP ports and URI/payload fields",serialization_and_capture_artifacts_reported,"paper itself drops IP ports timestamps payload and URI fields; recent audits report serialization provenance artifacts","start from authors' leakage-pruned selected table but independently remove row/order artifacts; group by capture file attack scenario and device",conditional_high_bar
cicids2017,CICIDS2017,https://www.unb.ca/cic/datasets/ids-2017.html,https://www.unb.ca/cic/datasets/ids-2017.html,"publicly available for researchers with required citation",about_2_8m_labeled_flows,"more than 80 CICFlowMeter features","benign; brute force; DoS; DDoS; Heartbleed; web attack; infiltration; botnet; port scan",UNB_five_day_enterprise_testbed,yes_exact_day_and_attack_times,"fixed attacker and victim hosts documented","Flow ID in common generated CSVs","source/destination IP","source/destination port",known_flow_generation_and_duplicate_quality_issues_in_literature,"attack labels are tied to day time IP and port; random rows mix the same campaign and hosts across folds","drop Flow ID IP and timestamp; audit ports; hold out complete day/attack campaign and report unseen-attack performance",conditional_large_leakage_audit
ciciot2023,CICIoT2023,https://www.unb.ca/cic/datasets/iotdataset-2023.html,https://www.unb.ca/cic/datasets/iotdataset-2023.html,"public research dataset; cite official paper and verify download terms",about_46_7m_flow_rows,"official extracted CSV feature set; verify exact version schema","benign plus 33 attacks grouped into 7 categories",UNB_real_IoT_topology_with_105_devices,yes_pcap_and_scenario_order,"105 devices plus seven malicious IoT attackers","capture/file/flow identifiers depend on export","raw PCAP addresses; extracted schema must be inspected","raw ports/protocol fields",not_resolved,"attack PCAP/capture file and attacking device can identify label; huge row-level duplication within floods","split by attack execution/capture file and attacker/victim device; remove direct IDs; cap train only after split",conditional_high_bar
nsl_kdd,NSL-KDD,https://www.unb.ca/cic/datasets/nsl.html,https://www.unb.ca/cic/datasets/nsl.html,"redistribution and mirroring allowed with citation; official page says download no longer available",125973_train_plus_22544_test,41,"normal plus DoS Probe R2L U2R attack families and subtypes",derived_historical_KDD99,no,"no modern device IDs","no flow ID","symbolic hosts absent","service and flag fields",officially_deduplicated_train_and_test,"outdated synthetic environment and train/test attack-family shift; not representative of modern IIoT","use official fixed split only; no random CV claim; historical compatibility baseline",historical_baseline_only
x_iiotid,X-IIoTID,https://github.com/Alhawawreh/X-IIoTID,https://github.com/Alhawawreh/X-IIoTID,"public author repository; verify dataset redistribution license",820834,"68 columns including three label levels; published descriptions sometimes count 59 predictive features","normal; 9 attack categories; 18 attack subtypes",heterogeneous_IIoT_network_host_resource_and_security_logs,yes_multi_month_collection,"device/resource/log sources; intended connectivity/device-agnostic predictive features","Zeek UID and correlated log IDs may exist in raw/enriched forms","source/destination IP in correlation process; inspect final ML table","source/destination ports/services in correlation process",not_resolved,"three label columns and alert/log-derived fields can leak target; same campaign events may span random folds","remove every label level from X; group by attack campaign/time and data source; audit alert fields and device holdout",retain_direct_GBIFS_comparator_dataset
wustl_iiot_2021,WUSTL-IIOT-2021,https://www.cse.wustl.edu/~jain/iiot2/index.html,https://www.cse.wustl.edu/~jain/iiot2/index.html,"public academic dataset with required citation; no standalone license text verified","400MB cleansed release; exact row count to verify",41_relevant_features,"normal plus IIoT attacks defined by release",Washington_University_IIoT_testbed,yes_StartTime_LastTime,"SrcAddr/DstAddr and IP-ID fields","record identity implicit in time/address","SrcAddr/DstAddr/sIpId/dIpId","ports/services present; audit",source_page_warns_unique_attack_identifiers,"official warning states StartTime LastTime SrcAddr DstAddr sIpId dIpId expose attack type","remove six official leakage columns; split by contiguous time/attack run rather than rows; port ablation",retain_small_direct_GBIFS_comparator

