baseline_id,family,paper_doi,repository,commit,license,code_location,audit_status,reproduction_status,notes
gbc_original,granular-ball classifier,10.1016/j.ins.2019.01.010,https://github.com/syxiaa/GBC,5986bea652f7e6e944af33572cc958cd096de5a1,NO-LICENSE,gb_origin.py,author-account source audited,structure-smoke passed,Experiment 20260824T095642Z-9b06be41c5e4; may run for research but do not vendor without permission.
gbg_adaptive,granular-ball generation,10.1109/tnnls.2022.3203381,https://github.com/syxiaa/GBC,5986bea652f7e6e944af33572cc958cd096de5a1,NO-LICENSE,gb_adaptive_upload.py,author-account source audited,structure-smoke passed,Experiment 20260824T095755Z-aa2b5e62ddf0; README explicitly maps file to paper.
gbg_adaptive_archive,granular-ball generation,10.1109/tnnls.2022.3203381,https://github.com/lianxiaoyu724/GBC,b0ed1e88f4e680b3217bf6b130b4a99f55728cac,NO-LICENSE,GBC-1.0.rar,author-account artifact audited,not runnable,Archive-only distribution; secondary corroboration.
gbg_plus_plus,granular-ball generation,10.1109/tetci.2024.3359091,,,UNKNOWN,,paper verified; public repo not found,not available,Requires supplementary/author-code search or paper-faithful reimplementation.
gbg_local_density,granular-ball generation,10.1016/j.ins.2025.122295,,,UNKNOWN,,paper verified; public repo not found,not available,Do not substitute density-peaks clustering for this generator.
gbrs,granular-ball rough set,10.1109/tnnls.2023.3325199,https://github.com/syxiaa/GBRS,e7d92e78e7f00a38f41417d4ea6835a08c87e62c,NO-LICENSE,GBRS/,author-account source/artifacts audited,not yet reproduced,Large repository includes data/results and archives.
gbfrs,fuzzy granular-ball rough set,10.1016/j.knosys.2023.110898,https://github.com/AldrinLake/GBFRS,25a8bc2a8ddf6be13ea8fe773a63def1ca45bc3d,MIT,GranularBall.py,implementation and license audited,not yet reproduced,Later repository revision; exact paper-table parity still requires checking.
3wc_gbnrs_plus_plus,three-way granular-ball classifier,10.1109/tfuzz.2024.3397697,https://github.com/xiaodiaolingyun/3WCGBNRS-,085dfa7ed796d159d411345be3980ff241b8ff8d,NO-LICENSE,code/,author-account source and supplementary audited,not yet reproduced,Includes paper PDFs; PDFs are not vendored.
s3wd_gbrs,fuzzy granular-ball three-way decision,10.1109/tfuzz.2025.3536564,https://github.com/xiaodiaolingyun/S3WD-GBRS,48d1938b3dedc7d883dc30c1401b54f188d75057,NO-LICENSE,code/,author-account source and supplementary audited,not yet reproduced,Includes paper PDFs; PDFs are not vendored.
gb_dp,density-peaks granular-ball clustering,,https://github.com/DongdongCheng/GB-DP,,NO-LICENSE,,clone incomplete,not reproduced,Optional clustering comparator; shallow clone exceeded two minutes and was stopped.
